(-5, 0, -8, -8, 8, -36, 26, 21) ,Ready
(-6, -2, -1, -4, -1, -9, 3, 5) ,Ready
(0, -1, 3, 2, -3, 11, -12, -8) ,Ready
(5, 0, 1, 4, -4, 15, -12, -14) ,Ready
(-4, -1, -6, -5, 5, -21, 17, 13) ,Ready
(-4, -2, -1, -3, -2, -8, 2, 1) ,Ready
(-2, -4, 0, 0, -2, 4, -6, -4) ,Ready
(5, 0, 0, 3, -5, 17, -13, -12) ,Ready
(-5, 0, -5, -4, 5, -20, 10, 9) ,Ready
(-5, -3, -3, -7, 0, -11, 4, 6) ,Ready
(-1, -1, 3, 2, -2, 8, -6, -5) ,Ready
(3, -1, 1, 3, -5, 11, -9, -10) ,Ready
(-3, 1, -5, -3, 2, -15, 12, 5) ,Ready
(-3, 0, -2, -4, 0, -7, 2, 4) ,Ready
(1, 0, 0, 0, -1, 5, -6, -3) ,Ready
(1, 0, -2, 0, -3, 1, -2, -3) ,Ready
(-4, -2, -4, -1, -1, -6, 3, 6) ,Ready
(-1, -2, -1, 1, -1, -2, -1, -1) ,Ready
(0, -1, -1, -1, -2, 6, -4, -3) ,Ready
(1, 0, -1, -1, -1, 0, -3, -1) ,Ready
(-1, -1, -3, -3, 2, -6, 2, 1) ,Ready
(0, -1, 0, 1, -1, -2, 0, -1) ,Ready
(-2, 0, 0, -3, 0, -4, 1, 1) ,Ready
(-3, -3, 1, -1, 0, -2, 2, 0) ,Ready
(0, -2, 0, 0, 0, 2, -3, -3) ,Ready
(-1, 0, -2, 0, 2, 0, -1, -2) ,Ready
(-1, -3, -3, -3, 1, -5, 2, 1) ,Ready
(-2, -2, -1, 0, -2, -1, -1, 0) ,Ready
(1, -3, 1, 1, -2, 3, -3, -3) ,Ready
(0, 1, -1, 0, -2, -2, -2, 0) ,Ready
(-1, 0, 1, 1, -2, 3, -2, -4) ,Ready
(0, -1, -1, -1, 0, -5, -1, -2) ,Ready
(-1, 0, 0, 0, 0, -2, -1, 0) ,Ready
(0, -4, -1, -3, -2, -2, 0, 0) ,Ready
(-2, -1, -1, 0, -3, 3, -3, -3) ,Ready
(-1, -3, -2, 0, 0, -1, 0, -1) ,Ready
(-2, 1, -2, -1, 0, -1, -2, -2) ,Ready
(0, -3, -1, 0, -1, -1, -2, -2) ,Ready
(-1, -2, 0, 0, 0, 1, -2, -2) ,Ready
(-3, -1, -2, -2, -2, -3, 2, 0) ,Ready
(-3, 1, 0, -1, -2, -1, -2, 0) ,Ready
(0, 1, -1, 0, 0, -1, -1, -1) ,Ready
(0, -1, 0, -2, -1, 1, -4, -2) ,Ready
(0, 0, -3, 0, -2, -2, 2, 0) ,Ready
(-1, -2, -1, -1, -3, -1, 0, -2) ,Ready
(-3, -1, -1, -2, -2, -1, -3, -2) ,Ready
(0, 1, -1, -1, 0, 1, -4, -4) ,Ready
(-1, -2, -2, -1, 0, -5, 3, -1) ,Ready
(-2, -3, -1, -2, -1, -1, -2, 0) ,Ready
(-1, -1, -1, -1, -1, 1, -3, -1) ,Ready
(0, -1, -2, 0, -1, 1, -4, -2) ,Ready
(-2, -2, -1, -2, 0, -4, -1, 3) ,Ready
(0, -1, -1, 0, -2, 0, -1, -2) ,Ready
(-1, -1, -1, 0, -2, 1, 0, 0) ,Ready
(-1, -2, -1, 0, -2, 3, -3, -4) ,Ready
(-2, 1, -3, 0, 1, -4, 0, 0) ,Ready
(-1, -2, -1, -1, -1, -2, -3, -1) ,Ready
(-1, -2, -3, -1, -1, -1, -1, -1) ,Ready
(0, -1, -2, 0, -1, 0, -4, -1) ,Ready
(-2, -1, -2, -2, 0, -5, 3, -1) ,Ready
(0, -2, 0, -1, -1, 1, -2, -2) ,Ready
(0, 1, 2, -1, 0, 2, -1, -1) ,Ready
(0, -1, -1, -2, -1, 0, -4, -2) ,Ready
(-3, 0, 0, 1, -1, -5, 1, 2) ,Ready
(-1, -2, -3, -1, 0, 0, -4, -2) ,Ready
(-2, -1, 0, -3, -3, 0, -1, -1) ,Ready
(0, 0, -1, 1, -1, 4, -3, -3) ,Ready
(-2, -3, -2, -4, -1, -4, 2, -2) ,Ready
(-1, -1, -1, 0, -1, 0, -2, -2) ,Ready
(-2, -2, -1, 1, -1, 0, -1, -2) ,Ready
(0, -2, 0, 0, -3, 0, -1, -2) ,Ready
(-3, -2, -3, -2, -1, -4, 2, 0) ,Ready
(-1, -2, -1, -1, -2, 1, -2, -1) ,Ready
(-2, -2, -1, -1, 0, 0, -2, -4) ,Ready
(0, -1, 0, -1, -3, 0, 0, -3) ,Ready
(-2, -1, -2, -1, 0, -5, 1, 2) ,Ready
(-1, -1, 0, 0, -1, 2, -2, -2) ,Ready
(0, -2, -2, -2, -2, 0, -2, -3) ,Ready
(0, 0, -1, -1, 0, 3, -4, -3) ,Ready
(-1, 0, -4, -2, -2, -4, 1, 1) ,Ready
(0, -2, 0, -2, -1, 1, -2, -3) ,Ready
(0, -1, -2, -1, -1, -1, -2, -1) ,Ready
(-1, -2, -1, 0, -2, -1, -2, -3) ,Ready
(-2, 0, -2, -2, -1, -4, 1, 0) ,Ready
(-1, -2, -1, -1, -1, 2, 0, 0) ,Ready
(-2, -1, -2, 0, -3, -1, -1, -2) ,Ready
(-1, 0, 1, -1, -2, -1, -4, -5) ,Ready
(0, -1, 1, 0, 2, 0, -3, 1) ,Ready
(-1, 0, -2, 0, -3, 1, -2, -1) ,Ready
(0, -1, -1, -2, -1, -4, 5, 1) ,Ready
(-2, -1, -1, -1, -1, 0, -2, -3) ,Ready
(-1, -1, -1, -2, -2, 1, -2, -3) ,Ready
(0, -2, -2, 0, -3, 1, -4, -2) ,Ready
(-1, -3, -1, -3, 2, -4, 2, 0) ,Ready
(0, -1, 0, -1, 0, 2, -2, -2) ,Ready
(-2, -1, -2, -2, -1, -4, -1, 3) ,Ready
(-1, -2, 0, -2, -4, 2, -2, -2) ,Ready
(-1, -2, -2, 0, -2, -2, 0, -1) ,Ready
(0, 0, 0, 0, -2, 1, -2, -2) ,Ready
(-1, 0, -2, -1, 1, -5, 1, 1) ,Ready
(-1, -1, 0, 0, -1, 0, -3, -2) ,Ready
(-1, -1, 1, 0, -1, 1, -2, -1) ,Ready
(0, -2, -1, 1, -1, 1, -2, -3) ,Ready
(-2, -2, -1, -3, 0, -4, 2, 1) ,Ready
(-1, 0, 0, 0, -1, 1, -2, -2) ,Ready
(0, 0, -1, -2, -2, 0, -2, -2) ,Ready
(-2, -2, 0, 0, -2, 0, -3, -2) ,Ready
(-1, -2, -1, -1, -2, -4, 0, 1) ,Ready
(-2, 0, -1, -2, -1, 1, -4, -3) ,Ready
(0, -1, -1, -2, -1, 0, -1, -3) ,Ready
(-1, -1, 0, -3, -1, 0, -2, -2) ,Ready
(-3, 0, -1, 0, 0, -5, 1, 0) ,Ready
(-1, -1, -1, 0, -1, -2, -2, -3) ,Ready
(-1, 0, -1, 0, -1, 0, -1, -2) ,Ready
(-1, 0, -1, 0, -1, 0, -1, -2) ,Ready
(-4, -2, -1, -2, 1, -5, 1, 0) ,Ready
(0, -3, -1, -1, 0, 1, -4, -1) ,Ready
(-1, -1, -1, 0, 1, 0, 0, -3) ,Ready
(1, -2, 0, 0, -3, -1, -1, -3) ,Ready
(-1, 1, -1, -2, -1, -4, 1, 1) ,Ready
(-2, -1, -1, 1, -3, 1, -4, -2) ,Ready
(-1, -1, -1, -2, -2, -2, -2, -1) ,Ready
(-3, -2, -1, -1, 0, 1, -1, -3) ,Ready
(-1, -1, -2, -2, -1, -4, 1, 2) ,Ready
(0, -1, -1, -2, -4, 0, -2, -1) ,Ready
(-1, 0, 0, 0, -2, 0, -1, 2) ,Ready
(1, -1, 0, 2, -1, -1, -1, -2) ,Ready
(-1, -1, -2, -2, -1, -2, -1, 1) ,Ready
(-2, -2, 0, -1, -1, 1, -2, -2) ,Ready
(0, -2, 0, 0, -1, 0, -2, 0) ,Ready
(-1, 0, -1, -1, 0, -1, -3, -2) ,Ready
