(0, -2, 0, -2, 0, -1, -2, -1) ,Ready
(0, 0, -1, -1, 1, -1, -1, 0) ,Ready
(1, -2, -3, 0, -2, -1, -1, -1) ,Ready
(-2, -2, -1, 0, -1, -2, -2, -2) ,Ready
(-2, -1, 0, 0, -1, -2, -1, -1) ,Ready
(-1, 0, 1, -1, 0, 1, -1, 0) ,Ready
(-1, 0, -3, -3, -2, 0, 0, -3) ,Ready
(-3, 0, 0, 0, -1, 0, -2, -1) ,Ready
(-2, -2, 1, -1, -1, -1, -3, -1) ,Ready
(1, -1, -1, 1, -1, 0, -1, 0) ,Ready
(1, 0, -2, 0, 0, 0, 0, -3) ,Ready
(-1, -2, -3, -2, -1, -1, -2, -1) ,Ready
(-4, -1, -1, -2, -1, -1, -2, 0) ,Ready
(0, 0, 1, 0, -2, 2, -1, 0) ,Ready
(-1, -1, 0, -1, -1, 0, -1, -3) ,Ready
(-2, -2, 0, -2, -2, -1, -1, -1) ,Ready
(-1, -2, -1, -1, -2, 0, -2, -1) ,Ready
(0, 0, -3, 0, -2, -1, -1, -1) ,Ready
(-2, 0, -2, -3, 0, -1, -2, -2) ,Ready
(-1, -2, -1, -1, 0, 0, -1, -1) ,Ready
(-1, -2, 1, 1, -2, -1, -2, -2) ,Ready
(-1, -1, 0, -1, -1, -1, 0, 0) ,Ready
(-1, -2, -2, 0, 0, -2, -1, -1) ,Ready
(1, -1, -1, -1, -1, -1, -1, -1) ,Ready
(-2, 0, -3, -1, -1, 0, -1, 1) ,Ready
(-1, -1, -1, 1, -1, -1, -2, -1) ,Ready
(-1, -1, -2, -1, 0, -2, -2, 0) ,Ready
(0, -1, 0, 0, 0, -2, -1, -2) ,Ready
(0, -2, 0, -1, -5, -1, 0, -1) ,Ready
(0, -2, -1, 0, -1, -1, -1, -2) ,Ready
(-1, -1, -3, 0, -1, 0, -1, -1) ,Ready
(0, 0, 2, -1, 0, -1, 0, 0) ,Ready
(-1, 0, 2, 0, 1, -1, 0, 0) ,Ready
(-3, -7, -6, -5, -3, -3, 1, -1) ,Ready
(-2, -3, 0, -1, 1, -1, -1, -3) ,Ready
(2, 4, 1, 0, -1, 0, -1, -1) ,Ready
(3, 6, -1, -1, 0, -2, -2, 0) ,Ready
(-2, 0, 1, -2, -2, 0, -1, -2) ,Ready
(-3, -5, -3, -1, -3, 0, -1, -2) ,Ready
(-4, -8, -6, -4, -2, -3, -3, -2) ,Ready
(-2, -5, 3, -1, -1, 0, -2, -1) ,Ready
(-2, 0, 0, 1, -2, 0, -3, 0) ,Ready
(2, -1, 1, 2, 1, 0, 2, 4) ,Ready
(2, 2, 0, -1, -2, -3, -1, -3) ,Ready
(-3, -2, -4, -1, 0, -2, 0, -4) ,Ready
(-4, 1, 0, 1, 1, -1, 1, -4) ,Ready
(1, 2, -11, -2, 1, 1, 0, 5) ,Ready
(-2, -8, 5, -3, -3, -3, -3, -1) ,Ready
(-2, 0, -6, -3, -4, -1, -3, -6) ,Ready
(-8, -4, 1, -2, -2, 0, -2, -6) ,Ready
(18, 9, 14, 1, 1, 1, 1, 6) ,Ready
(1, 3, 2, 4, 2, 1, 2, 5) ,Ready
(-4, -12, -17, -3, -5, -3, -2, 2) ,Ready
(-3, 1, 6, -2, -1, -2, -2, 0) ,Ready
(-10, -3, 9, 1, -3, -2, -4, -8) ,Ready
(4, -7, -28, -4, -1, -2, 0, 3) ,Ready
(0, 3, 13, 3, 2, 0, -2, -3) ,Ready
(4, 1, -9, -1, -2, 0, 0, 1) ,Ready
(-3, 0, 1, -1, 0, -3, -2, -3) ,Ready
(-13, -2, 5, -2, 0, -1, 0, -4) ,Ready
(6, 2, 3, 0, -2, -2, -2, -27) ,Ready
(5, 4, -5, -1, 0, -1, 0, 19) ,Ready
(-5, -7, -11, -1, -2, 0, -1, -1) ,Ready
(3, 0, 0, 0, -2, 0, -2, -1) ,Ready
(25, 8, -5, -2, 0, -2, 0, 2) ,Ready
(-29, -6, 5, -2, -1, -3, -1, -13) ,Ready
(-18, -11, 1, -2, -2, -4, -4, -6) ,Ready
(-6, -7, -3, -2, 1, -2, 1, 6) ,Ready
(-2, -1, 4, -2, 0, 1, -2, 4) ,Ready
(-5, 1, 7, 0, -2, -2, -2, -3) ,Ready
(17, 2, -11, -3, -2, -4, -4, -7) ,Ready
(-2, 0, -1, -1, -3, -1, -1, -7) ,Ready
(-8, 6, 2, 2, 1, 0, -4, 14) ,Ready
(25, -13, -11, -4, -2, -3, 10, -12) ,Ready
(-26, 5, -5, 0, 1, -1, 0, 1) ,Ready
(25, 22, 22, -3, 0, 0, 3, 4) ,Ready
(-15, -9, -2, 0, 0, -3, -2, -2) ,Ready
(-12, -11, -38, -7, -3, -1, -6, 0) ,Ready
(17, 5, 9, 2, 0, -1, 3, -1) ,Ready
(-10, -10, -11, -1, -1, 0, -1, -1) ,Ready
(-9, -9, 8, 1, 0, -1, 1, -1) ,Ready
(3, -1, -2, -2, -2, 2, -2, 1) ,Ready
(-34, -14, 0, -2, -1, -2, -2, -8) ,Ready
(23, 10, -1, 0, 0, 1, 0, 12) ,Ready
(8, 6, 1, 0, 0, -1, 0, -1) ,Ready
(-16, -4, 1, 2, 0, -1, -1, -4) ,Ready
(-3, -5, -5, -3, -2, -2, -3, 9) ,Ready
(-11, 1, 2, -2, -3, -1, -2, -8) ,Ready
(0, -6, -5, -2, 0, 2, 1, -14) ,Ready
(14, 15, 11, 1, 1, 2, 0, 39) ,Ready
(-10, -10, -3, -1, -2, -3, -1, -6) ,Ready
(9, 7, 5, 0, 0, -3, -3, -7) ,Ready
(9, 4, -3, -1, -3, 0, -1, 2) ,Ready
(-11, 0, -3, 0, -1, -1, -1, -8) ,Ready
(-1, 3, 0, -3, -1, -1, 1, 4) ,Ready
(-1, -2, -11, -3, 1, -1, -1, -4) ,Ready
(0, -1, -4, -5, -2, -3, -3, -7) ,Ready
(-11, 2, 5, -1, -1, -2, -4, 6) ,Ready
(-2, -7, -4, 0, -2, -1, 0, 2) ,Ready
(-16, 2, 5, 0, 0, -2, -1, -1) ,Ready
(5, 6, -1, -1, 1, -3, -1, 1) ,Ready
(5, 1, 0, -2, -1, 0, -1, -5) ,Ready
(27, 13, -1, 0, 0, 0, 0, 5) ,Ready
(-19, -12, 3, 1, -3, 0, -1, -10) ,Ready
(-1, -3, -7, -4, -3, -3, -3, -1) ,Ready
(2, 5, 14, 1, 0, 0, 0, -1) ,Ready
(-3, 0, 8, -1, -2, -2, -2, 9) ,Ready
(4, -2, -20, -2, 0, 0, -2, -12) ,Ready
(-4, -1, 1, 0, -1, 2, 4, 11) ,Ready
(-7, -3, 2, 1, -2, 0, -2, -10) ,Ready
(15, 3, 19, 1, -1, -1, -1, -15) ,Ready
(-2, -4, -13, -1, -1, -2, -1, -9) ,Ready
(-4, -2, 18, -2, 0, -1, 1, -5) ,Ready
(12, 2, -2, -2, -1, -2, -2, 6) ,Ready
(-13, -7, -9, -2, -1, -1, 0, -12) ,Ready
(1, 0, 2, 0, 0, -2, 0, -1) ,Ready
(21, 4, -10, 0, 1, -1, -3, 2) ,Ready
(9, -3, 3, -2, -1, -2, 0, -10) ,Ready
(-11, 2, -1, 0, 0, -1, -1, 14) ,Ready
(-2, -5, 0, -2, -1, -2, 0, -11) ,Ready
(-10, -6, -2, -2, -1, -1, -2, 13) ,Ready
(2, -1, 2, 2, -1, 0, -3, -7) ,Ready
(-4, 2, -10, 0, 1, -1, -1, 10) ,Ready
(-10, -6, 0, -6, -5, -3, -3, 3) ,Ready
(-5, -5, -5, -1, -3, -2, -3, -11) ,Ready
(-2, -2, -8, -1, -1, -1, -2, 6) ,Ready
(-6, 1, 7, -1, -1, 0, 1, 18) ,Ready
(1, 2, 3, 2, -1, -1, -1, -6) ,Ready
(-9, -2, -10, -2, -1, -2, -5, -12) ,Ready
(-3, 1, 5, -1, -3, -2, 1, 13) ,Ready
(-1, -2, -9, -3, -1, 0, -2, -11) ,Ready
(-10, -2, 14, 0, -3, -3, 0, 15) ,Ready
(-7, 9, 4, 3, 0, 0, -1, -10) ,Ready
(-10, -30, -48, -8, -3, -2, -3, -8) ,Ready
(-5, -2, -4, -2, -2, -4, -3, -2) ,Ready
(-9, -4, -8, -2, -2, -2, -3, 1) ,Ready
(-5, 1, 10, 0, -2, 1, 0, -4) ,Ready
(1, 11, 6, -2, 0, -2, 0, -11) ,Ready
(-2, 0, -4, -2, -3, 1, -2, 12) ,Ready
(-2, -4, -4, -1, 2, 0, -1, -8) ,Ready
(2, -1, 13, 2, 0, -1, 1, 4) ,Ready
(-4, -1, -16, -1, -1, 0, 0, -38) ,Ready
(2, -3, -8, 2, 0, 0, 0, 26) ,Ready
(5, 2, 16, -3, -3, 0, -2, 4) ,Ready
(-3, -3, -3, -2, -1, -1, 0, -9) ,Ready
(4, 1, 11, 1, -1, 0, 1, 14) ,Ready
(-6, 1, 2, -2, -1, -3, -2, -6) ,Ready
(1, -2, -9, 0, -1, 0, -2, -9) ,Ready
(-1, -2, -6, -3, -1, -2, -2, 2) ,Ready
(-1, 1, 7, -1, 0, 0, -2, 2) ,Ready
(-2, -4, -6, -2, -3, -2, -1, 0) ,Ready
(2, -1, 0, 1, 0, -1, 1, 4) ,Ready
(0, -4, -4, -1, -1, -1, -1, -3) ,Ready
(3, 4, 3, 1, 0, -1, 0, 6) ,Ready
(-3, -1, 2, -1, -2, -1, -1, 2) ,Ready
(0, 0, -1, -1, -2, 1, 0, -10) ,Ready
(-3, -3, -4, -1, -1, -3, -2, 0) ,Ready
(3, 4, 0, 0, 1, 1, 2, 8) ,Ready
(-3, -3, 2, -2, -1, -1, -4, -5) ,Ready
(-3, -3, -2, -1, -2, -3, -5, -7) ,Ready
(1, -3, -7, -2, 0, 1, -1, 3) ,Ready
(3, 4, 4, -1, -3, -1, 0, 3) ,Ready
(-1, 2, 3, 0, 1, 1, 1, -1) ,Ready
(0, 1, -4, -2, 0, -2, 1, -1) ,Ready
(-1, -4, -2, -2, -2, -2, -1, -1) ,Ready
(-2, -4, 1, -1, -1, 0, -1, -2) ,Ready
(-1, -1, 0, -1, 0, -1, -2, -2) ,Ready
(-2, -2, -2, 0, -1, -1, -2, -2) ,Ready
(0, -1, -2, -1, -1, 0, 1, 2) ,Ready
(-2, -1, 1, -1, -3, 0, -2, -3) ,Ready
(0, 1, -1, -1, -3, -3, -1, -3) ,Ready
(1, -2, 1, -1, 0, 0, -1, 0) ,Ready
(-2, 0, -3, 1, -1, -1, -1, -1) ,Ready
(-2, -1, -2, -5, -4, -3, -2, 1) ,Ready
(-3, -1, -1, -1, -2, -1, -2, -2) ,Ready
(-1, 1, -2, 0, -3, -2, -1, -2) ,Ready
(0, 1, -2, -1, -1, -2, 1, -1) ,Ready
(0, -1, -2, 1, 0, -1, -2, -1) ,Ready
(-4, -4, 1, 0, 0, -1, -1, -4) ,Ready
(-1, -1, -1, -1, 1, 0, -2, 0) ,Ready
(-1, 2, -1, -2, -3, -2, -1, 0) ,Ready
(-1, -2, -3, -1, 0, -2, 0, 1) ,Ready
(-1, -1, -6, -3, -1, -1, -2, -1) ,Ready
(-2, -2, 3, -2, 0, 0, 0, -1) ,Ready
(-1, -3, -2, -1, 0, -4, -1, 0) ,Ready
(-1, 0, 1, 0, -1, -2, -2, -3) ,Ready
(-2, -1, 1, 0, -1, -1, 0, -1) ,Ready
(-2, 0, -4, -2, 0, -1, -3, 1) ,Ready
(0, -3, -3, -2, -1, 0, -2, 1) ,Ready
(-2, -1, 0, -1, 0, -1, 0, -1) ,Ready
(-1, -2, -2, -2, 0, 0, -1, -1) ,Ready
(-1, 1, -2, 0, -3, 0, 2, 1) ,Ready
(0, -1, -2, -3, -2, 1, -2, 0) ,Ready
(-1, 0, -1, 0, -3, -1, -3, 1) ,Ready
(-1, -1, 1, 1, -1, -1, -1, -2) ,Ready
(0, -1, 1, -1, -1, 0, 0, 0) ,Ready
(0, 0, -3, -2, -1, -1, -1, 0) ,Ready
(-2, -1, -1, -1, -1, -1, -2, -1) ,Ready
(-1, 0, 0, -1, -2, -1, -2, 0) ,Ready
(-2, -1, -2, 0, -1, 1, 0, -2) ,Ready
(0, -1, -2, 0, -1, -1, 0, -1) ,Ready
(-2, -2, 0, -2, -1, -3, -1, -1) ,Ready
(-2, -2, -1, 0, 0, -3, -2, 0) ,Ready
(-1, -1, -3, -3, 0, -1, -1, 0) ,Ready
(0, 0, -1, -1, -1, 0, -1, 0) ,Ready
(-2, -1, -2, -3, -1, -2, -1, 0) ,Ready
(-1, -1, 0, -1, 0, -1, 0, -1) ,Ready
(-1, -2, -1, -1, -2, -2, -1, -1) ,Ready
(-2, 1, -1, -1, -1, -1, 0, -2) ,Ready
(-2, 0, 0, -1, -1, -2, -2, -2) ,Ready
(-1, -2, -1, -1, -2, -2, -1, -2) ,Ready
(-1, -2, -1, 0, -2, -1, -3, -1) ,Ready
(0, -1, -1, 0, -2, -2, -1, -2) ,Ready
(-1, -1, -1, 0, 0, 0, -1, -2) ,Ready
(-2, -2, -1, -2, -1, -2, -3, -1) ,Ready
(-1, -2, -1, 1, -1, -1, -1, -1) ,Ready
(-1, 0, 1, 0, -2, 0, -1, 0) ,Ready
(-1, -1, 0, -1, 0, -1, -2, -1) ,Ready
(0, 0, 1, 0, -1, 1, -2, -1) ,Ready
(0, 0, 0, -1, 0, -1, 0, -2) ,Ready
(-1, -1, -1, -1, -1, -2, -1, -1) ,Ready
(1, -1, 0, -2, -1, -1, 0, -1) ,Ready
(0, 1, -1, -2, -1, 1, 0, -2) ,Ready
(0, -3, -1, -1, -2, 0, -2, -1) ,Ready
(-1, -2, -1, 0, -1, 0, -1, -1) ,Ready
(0, 0, -2, -1, 0, -2, -2, -2) ,Ready
(-1, -1, -2, -1, -1, -3, -2, 0) ,Ready
(-3, 0, 0, -1, -2, 0, -1, 0) ,Ready
(-1, 0, -1, 0, -1, 1, -2, -1) ,Ready
(-1, -1, -1, 1, -1, -2, 0, 0) ,Ready
(-1, -3, -2, -2, 0, -1, 0, -1) ,Ready
(-1, 0, -1, -1, -1, -2, -1, -1) ,Ready
(-1, 1, 0, 0, 0, -2, -3, 0) ,Ready
(-2, -1, -2, -1, -1, 0, -2, -2) ,Ready
(-1, -1, -2, -1, -1, -1, -2, 0) ,Ready
(0, -3, -2, -3, -1, -2, -1, -1) ,Ready
(-2, -1, 1, -3, -1, -1, -1, 1) ,Ready
