(2, -2, -13, -19, 3, 17, 2, -1) ,Ready
(-4, -4, -7, -8, 8, -4, -1, -3) ,Ready
(-3, 0, 9, -1, -2, -5, 0, 1) ,Ready
(2, 0, 1, 2, -2, 0, 2, 2) ,Ready
(1, 0, -9, 3, -8, -2, 0, -4) ,Ready
(-4, -3, 0, 1, -5, -5, -3, -3) ,Ready
(-3, 3, 14, -3, -1, -2, -2, -2) ,Ready
(4, 4, -12, 2, 1, 3, 3, 5) ,Ready
(0, -5, 1, 12, 0, 1, -1, -4) ,Ready
(-3, -5, -21, -32, -4, -4, -2, -2) ,Ready
(-3, -6, 4, 8, -2, -7, -6, -1) ,Ready
(3, 5, 11, 2, 2, 6, 2, 1) ,Ready
(2, 1, -11, -2, 1, 4, 0, -1) ,Ready
(-3, -5, 6, 8, -1, -5, -1, -2) ,Ready
(-1, 0, -10, 0, 2, 0, -1, -2) ,Ready
(-1, 3, 11, 6, 0, -2, -1, -2) ,Ready
(-1, -2, -6, -9, 1, 0, -1, 0) ,Ready
(-1, -2, 1, -1, 0, 2, 0, 0) ,Ready
(-2, -2, 1, -7, -3, -2, -2, -2) ,Ready
(-1, 5, 4, 5, 1, -5, -3, 1) ,Ready
(-2, -5, 3, 3, -4, -1, -2, -1) ,Ready
(-2, -4, -15, 0, -5, -5, -3, -2) ,Ready
(-1, 2, 2, -1, 2, 2, -1, 0) ,Ready
(-1, 0, 6, -4, -7, -1, -1, -1) ,Ready
(1, 0, -7, 1, -9, -4, 0, -2) ,Ready
(-1, 1, 3, 4, 1, -1, -1, 2) ,Ready
(-1, -3, 3, -2, -4, -5, -2, -2) ,Ready
(-2, 0, 5, -5, -1, -1, -2, -3) ,Ready
(0, 0, -6, 0, 0, 0, 0, 0) ,Ready
(-2, -4, -1, -2, -1, 1, -1, -1) ,Ready
(2, 0, -2, 6, -2, 0, -2, -1) ,Ready
(-3, -3, 0, -1, -5, -3, 0, 0) ,Ready
(-1, -1, -3, -1, 11, 2, 2, 1) ,Ready
(-1, -3, -5, -1, -1, -3, -1, -1) ,Ready
(-1, 1, 9, 2, -1, -2, 0, -1) ,Ready
(-1, -1, -12, -3, -11, 0, -1, -1) ,Ready
(-2, -3, -5, 2, -4, -2, -2, -3) ,Ready
(-1, 0, 1, -11, -8, -3, 1, -1) ,Ready
(0, 1, 8, 0, -5, -1, -1, -1) ,Ready
(-1, -6, -12, 0, -6, -2, 0, -3) ,Ready
(-1, 0, 1, -5, -6, -2, -2, 0) ,Ready
(-1, 0, 1, 1, 1, -2, -1, -2) ,Ready
(-2, -2, -5, -2, -2, -2, -1, -1) ,Ready
(1, 1, 5, 4, 1, 0, -1, -1) ,Ready
(-2, 0, 1, 3, 0, 1, 1, -1) ,Ready
(-1, 2, 2, -8, 3, -1, -1, -1) ,Ready
(-2, -3, -8, 2, -5, -3, -1, -1) ,Ready
(-2, 0, 7, 4, 1, -2, -3, 0) ,Ready
(-2, -1, 1, -4, -4, -3, -3, -2) ,Ready
(-1, -1, -2, -1, 1, 0, -1, -1) ,Ready
(0, -2, -2, -6, 0, 2, -2, -2) ,Ready
(-1, -2, 3, 6, -2, -2, -1, -2) ,Ready
(1, -1, 0, -6, -10, -3, -1, 0) ,Ready
(-3, -4, -8, -4, 8, 2, -1, -1) ,Ready
(-2, -1, 2, 0, 3, -1, 0, 1) ,Ready
(0, -3, 5, -4, -8, -2, 0, 1) ,Ready
(1, 0, 4, 7, 1, -2, -2, -2) ,Ready
(-1, -4, -8, -2, 16, 9, 0, -1) ,Ready
(-3, -3, -3, -3, -11, -8, -2, -3) ,Ready
(1, -3, -6, 1, 8, 2, -1, 0) ,Ready
(-1, 4, 7, -4, -5, 1, 0, -2) ,Ready
