(1, 0, -3, -1, -3, 4, -1, -1) ,Ready
(-3, -2, -4, -2, -1, -2, -2, -11) ,Ready
(-3, -2, 1, -1, -1, -3, -1, -2) ,Ready
(-7, -2, -1, -1, -3, -4, -2, -47) ,Ready
(0, -5, -2, -1, -3, 2, 0, 18) ,Ready
(-4, 1, -5, -1, 0, 2, 0, -1) ,Ready
(4, -1, 0, 0, 0, -2, 1, 9) ,Ready
(-8, -3, 2, -1, 0, -3, -1, -2) ,Ready
(-1, -2, -2, -1, 0, 2, 0, -9) ,Ready
(-9, 0, -2, -1, 0, 2, -2, 0) ,Ready
(-3, 2, 1, -1, 1, -4, -3, -36) ,Ready
(-3, -2, 2, 1, -1, -2, 1, 20) ,Ready
(-3, 0, -4, -1, -3, 2, 4, 9) ,Ready
(0, -4, -4, -2, -1, 0, -3, 0) ,Ready
(0, 0, 1, -2, -2, -3, -1, 10) ,Ready
(5, -1, 2, -2, -1, -2, -3, 6) ,Ready
(2, 0, 1, 0, -1, -1, 0, -12) ,Ready
(4, 1, 0, -1, -2, -1, 0, 7) ,Ready
(9, 1, 0, 0, 0, -2, -2, -3) ,Ready
(-11, -2, 0, 0, -1, 0, 0, 23) ,Ready
(-5, -1, -3, -3, -2, 0, -3, -9) ,Ready
(9, -1, -2, 0, -1, -1, -1, 10) ,Ready
(21, 8, 1, 1, 1, 0, 0, 30) ,Ready
(-19, -8, -2, 0, -1, -1, -1, -17) ,Ready
(-7, -1, -2, 0, -1, -1, -2, 14) ,Ready
(-5, -1, 0, -2, 0, -1, 1, 9) ,Ready
(-2, -5, -2, -3, -5, -4, -3, -23) ,Ready
(6, 1, -2, -1, 1, 2, 1, -45) ,Ready
(1, -2, 0, 0, -1, -1, 2, 41) ,Ready
(-2, 0, -1, -3, -1, -2, -3, 8) ,Ready
(-6, -3, -2, -1, -1, 0, -1, -15) ,Ready
(7, 0, -3, 1, -1, -1, -1, 8) ,Ready
(-3, 0, 0, -1, 1, 0, 0, -3) ,Ready
(1, 0, -1, -1, -2, -2, 1, 8) ,Ready
(-16, -2, 0, 0, -2, -2, 0, -10) ,Ready
(4, -2, -3, -1, -1, -2, 0, 6) ,Ready
(0, -2, 1, -2, 0, -1, 0, -2) ,Ready
(-2, -1, -1, 0, -1, 0, -2, 2) ,Ready
(4, -3, -1, -2, 0, 0, -4, 9) ,Ready
(-3, -1, -1, -2, 0, -1, -2, 4) ,Ready
(-5, -1, -1, -1, 0, -1, -2, -13) ,Ready
(4, -1, 1, -2, -1, -1, 0, 11) ,Ready
(1, -3, -4, -1, 0, -1, -2, -14) ,Ready
(-4, 0, -1, 0, -2, -2, -2, 0) ,Ready
(1, 0, -1, -2, -1, -1, 3, 2) ,Ready
(0, -1, 0, -1, -2, 0, -1, -12) ,Ready
(9, 1, -1, -2, -3, -1, -2, -5) ,Ready
(12, -1, 1, 1, 0, -1, -3, 2) ,Ready
(-4, -1, -3, -1, -2, 1, 0, 0) ,Ready
(7, 1, 1, 0, 0, -2, -3, 5) ,Ready
(-13, -3, -1, -1, -1, -3, -2, -9) ,Ready
(-1, -2, -4, -2, -2, 2, 2, 8) ,Ready
(1, 0, 1, -3, -2, -3, -3, -2) ,Ready
(0, -2, -2, -1, -1, 0, -2, 1) ,Ready
(-4, -1, -1, 0, 0, -2, -2, -4) ,Ready
(-1, -1, 3, 0, 0, -1, -3, 0) ,Ready
(0, -2, -3, -1, -1, -1, 0, -3) ,Ready
(-3, -1, -1, 0, -2, -2, -1, -2) ,Ready
(8, -1, -3, 0, 0, 0, -1, -1) ,Ready
(-2, -1, -2, -1, -3, -1, -2, 1) ,Ready
(-1, -2, 0, -1, -2, -1, -2, -3) ,Ready
(0, 0, -1, -1, -1, -3, -1, 3) ,Ready
(-3, -1, 0, -1, -2, 2, -1, -49) ,Ready
(3, 3, 0, 1, 1, 0, 3, 17) ,Ready
(-7, -3, -6, -1, -2, -2, -4, -5) ,Ready
(0, 1, 0, -1, -1, 0, 1, 2) ,Ready
(-6, 2, -2, -1, -1, -2, -1, -5) ,Ready
(0, -1, -3, 0, -3, 0, -1, -2) ,Ready
(-3, -2, 0, -2, -1, 0, -2, 1) ,Ready
